RecordedDate,ResponseId,Clicks,IS,Charity,ISMC,IncImp,inc1,inc2,PMMC,pm1,pm2,CharityImp,CharityImp1,CharityImp2,CharityImp3,Focus_other,gender,age,duplicate
2021-04-14 14:04,R_3KQ2MR5s7RLrknh,663,1,-1,4,6,6,6,7,7,7,5.67,5,6,6,7,-1,44,0
2021-04-14 14:04,R_1IgbvSR8iPddVko,767,-1,-1,1,7,7,7,7,7,7,5.67,5,6,6,7,1,28,0
2021-04-14 14:05,R_3j6yBqKZfiYsGf9,713,-1,1,1,7,7,7,7,7,7,7,7,7,7,3,1,30,0
2021-04-14 14:05,R_27VtXRirqrk9Yt0,347,1,-1,2,7,7,7,7,7,7,2.33,2,2,3,4,1,26,0
2021-04-14 14:05,R_3dQRkdhwU9nuVIu,833,-1,-1,7,7,7,7,5.5,5,6,3,2,2,5,6,1,32,0
2021-04-14 14:05,R_3qBSW7KORYKi5Vw,943,1,-1,7,7,7,7,4,4,4,4.67,5,5,4,4,1,38,0
2021-04-14 14:05,R_23dFhHhulvJ72Eo,381,1,1,3,5,5,5,5,5,5,6,6,6,6,5,1,27,0
2021-04-14 14:05,R_BulEgDUF6sY5RqV,746,1,1,1,4,4,4,1.5,2,1,6,6,6,6,6,1,40,0
2021-04-14 14:05,R_Zxa2eQoL7HU8VPj,718,-1,1,2,2,2,2,6,6,6,6,6,6,6,6,1,71,0
2021-04-14 14:05,R_2SJJ7cZSJ5i05Oq,330,-1,-1,2,4,7,1,5,6,4,3,1,4,4,4,1,50,0
2021-04-14 14:05,R_1hShfcamHDI6egm,257,-1,1,2,2.5,3,2,3,3,3,6,6,6,6,3,1,39,0
2021-04-14 14:05,R_1P7ByGfKrHl5D3z,275,-1,1,6,7,7,7,6,6,6,6.33,6,7,6,7,1,26,0
2021-04-14 14:05,R_d6Vg93efLk0BXsB,352,-1,1,5,3.5,4,3,4.5,5,4,6,5,7,6,4,-1,26,0
2021-04-14 14:05,R_1GK6UHShyV7i8fk,711,1,1,3,6,6,6,5.5,5,6,5.67,6,6,5,5,1,70,0
2021-04-14 14:05,R_08r3u1QdBU3SFHz,572,-1,-1,5,5.5,6,5,6,6,6,3.67,4,3,4,5,1,36,0
2021-04-14 14:05,R_1r78EV6Xu377Hg0,556,1,1,4,4.5,4,5,7,7,7,7,7,7,7,5,-1,43,0
2021-04-14 14:06,R_1ANVjho6fMSEgCt,530,-1,-1,6,1.5,2,1,1,1,1,1,1,1,1,1,-1,35,0
2021-04-14 14:06,R_42rVLY9TR9AyZfb,545,1,1,2,4,4,4,7,7,7,7,7,7,7,6,-1,48,0
2021-04-14 14:06,R_DTRZNVN4nUm5GEx,869,-1,1,2,4,2,6,5.5,6,5,5.33,6,5,5,6,-1,26,0
2021-04-14 14:06,R_3kmOci9CHIFukC0,474,-1,-1,3,6,6,6,6,6,6,4.67,4,5,5,4,-1,30,0
2021-04-14 14:06,R_1HhNq0NsY2PcSd8,615,1,1,6,7,7,7,7,7,7,7,7,7,7,6,1,32,0
2021-04-14 14:06,R_1hWihGoQ8z4MAnA,18,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,48,0
2021-04-14 14:06,R_3EtcZ5LvaCFlhWm,781,-1,-1,6,6,6,6,4,4,4,2,2,2,2,2,1,30,0
2021-04-14 14:06,R_3dE1c6qkA1MW0pS,808,1,-1,3,6.5,7,6,7,7,7,1.67,1,2,2,7,1,37,0
2021-04-14 14:06,R_268ZJnt5B9Dzxb5,711,-1,-1,5,5,5,5,5,5,5,5.33,6,5,5,6,1,37,0
2021-04-14 14:07,R_01waJa7G4SDASgF,814,-1,-1,6,7,7,7,3,3,3,2.33,2,2,3,4,1,25,0
2021-04-14 14:07,R_3h4njMYXQCxgN7a,711,1,-1,7,6,5,7,3.5,4,3,3,2,4,3,2,-1,36,0
2021-04-14 14:07,R_10UYNHuuE9MVHGy,523,-1,1,3,6,7,5,7,7,7,7,7,7,7,7,1,33,0
2021-04-14 14:07,R_3fl54zm0Jt0FU1w,400,1,1,7,5.5,6,5,4,4,4,7,7,7,7,4,1,40,0
2021-04-14 14:07,R_1Nrnpj0GQ79Pj54,738,-1,-1,6,7,7,7,4,4,4,2,2,2,2,7,-1,32,0
2021-04-14 14:07,R_qKDFEfB5ZrKqGT7,586,1,1,5,5,5,5,5,5,5,7,7,7,7,5,1,29,0
2021-04-14 14:07,R_2zjfs9XT0xssCof,581,1,1,1,6,6,6,7,7,7,7,7,7,7,7,-1,64,0
