Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
16-May-2018_14:14:05 7314 19 female R 2 3 16 moral moralSelf Y y 1 0.7594 
16-May-2018_14:14:07 7314 19 female R 2 3 17 moral moralOther Y y 1 0.3996 
16-May-2018_14:14:09 7314 19 female R 2 3 18 moral moralSelf Y y 1 0.6657 
16-May-2018_14:14:11 7314 19 female R 2 3 19 moral moralOther Y y 1 0.5298 
16-May-2018_14:14:12 7314 19 female R 2 3 20 moral immoralSelf U u 1 0.5199 
16-May-2018_14:14:15 7314 19 female R 2 3 21 moral moralSelf Y y 1 0.9840 
16-May-2018_14:14:17 7314 19 female R 2 3 22 moral moralOther Y NA -1 1.0850 
16-May-2018_14:14:19 7314 19 female R 2 3 23 moral moralSelf Y y 1 0.6262 
16-May-2018_14:14:21 7314 19 female R 2 3 24 moral moralOther Y y 1 0.6803 
16-May-2018_14:14:22 7314 19 female R 2 4 1 moral moralOther Y y 1 0.5164 
16-May-2018_14:14:24 7314 19 female R 2 4 2 moral moralOther Y y 1 0.7145 
16-May-2018_14:14:27 7314 19 female R 2 4 3 moral immoralOther U u 1 0.8667 
16-May-2018_14:14:28 7314 19 female R 2 4 4 moral immoralSelf U u 1 0.6308 
16-May-2018_14:14:31 7314 19 female R 2 4 5 moral moralOther Y y 1 0.6909 
16-May-2018_14:14:32 7314 19 female R 2 4 6 moral immoralSelf U u 1 0.5490 
16-May-2018_14:14:34 7314 19 female R 2 4 7 moral immoralOther U u 1 0.8971 
16-May-2018_14:14:36 7314 19 female R 2 4 8 moral moralSelf Y y 1 0.7992 
16-May-2018_14:14:38 7314 19 female R 2 4 9 moral moralSelf Y y 1 0.5413 
16-May-2018_14:14:40 7314 19 female R 2 4 10 moral moralOther Y NA -1 1.0850 
16-May-2018_14:14:42 7314 19 female R 2 4 11 moral immoralOther U u 1 0.6655 
16-May-2018_14:14:44 7314 19 female R 2 4 12 moral immoralSelf U u 1 0.6097 
16-May-2018_14:14:46 7314 19 female R 2 4 13 moral immoralOther U y 0 0.7018 
16-May-2018_14:14:48 7314 19 female R 2 4 14 moral moralSelf Y y 1 0.9438 
16-May-2018_14:14:50 7314 19 female R 2 4 15 moral immoralSelf U u 1 0.7640 
16-May-2018_14:14:52 7314 19 female R 2 4 16 moral immoralSelf U u 1 0.7980 
16-May-2018_14:14:54 7314 19 female R 2 4 17 moral immoralOther U y 0 0.6542 
16-May-2018_14:14:56 7314 19 female R 2 4 18 moral immoralOther U y 0 0.8303 
16-May-2018_14:14:57 7314 19 female R 2 4 19 moral moralOther Y y 1 0.6385 
16-May-2018_14:14:59 7314 19 female R 2 4 20 moral moralSelf Y y 1 0.7646 
16-May-2018_14:15:02 7314 19 female R 2 4 21 moral moralOther Y y 1 0.9387 
16-May-2018_14:15:04 7314 19 female R 2 4 22 moral moralSelf Y y 1 0.6928 
16-May-2018_14:15:06 7314 19 female R 2 4 23 moral immoralSelf U u 1 0.5469 
16-May-2018_14:15:08 7314 19 female R 2 4 24 moral moralSelf Y y 1 0.7710 
16-May-2018_14:15:19 7314 19 female R 2 5 1 moral moralSelf Y y 1 0.8477 
16-May-2018_14:15:21 7314 19 female R 2 5 2 moral moralOther Y y 1 0.6038 
16-May-2018_14:15:23 7314 19 female R 2 5 3 moral immoralSelf U u 1 0.6239 
16-May-2018_14:15:25 7314 19 female R 2 5 4 moral moralSelf Y y 1 0.6659 
16-May-2018_14:15:26 7314 19 female R 2 5 5 moral moralSelf Y y 1 0.6401 
16-May-2018_14:15:28 7314 19 female R 2 5 6 moral moralSelf Y y 1 0.4662 
16-May-2018_14:15:30 7314 19 female R 2 5 7 moral immoralSelf U u 1 0.4863 
16-May-2018_14:15:32 7314 19 female R 2 5 8 moral immoralOther U y 0 0.5224 
16-May-2018_14:15:34 7314 19 female R 2 5 9 moral moralSelf Y y 1 0.7065 
16-May-2018_14:15:36 7314 19 female R 2 5 10 moral immoralOther U u 1 0.6586 
16-May-2018_14:15:38 7314 19 female R 2 5 11 moral immoralSelf U u 1 0.5867 
16-May-2018_14:15:40 7314 19 female R 2 5 12 moral moralOther Y y 1 0.6489 
16-May-2018_14:15:42 7314 19 female R 2 5 13 moral immoralOther U u 1 0.6850 
16-May-2018_14:15:44 7314 19 female R 2 5 14 moral moralSelf Y y 1 1.0370 
16-May-2018_14:15:46 7314 19 female R 2 5 15 moral immoralSelf U u 1 0.7452 
