"SubjectID","Age","Gender","Handness","moralSelfShape","immoralSelfShape","moralOtherShape","immoralOtherShape","matchKey","mismatchKey","Block","Bin","Trial","Identity","Morality","Match","RT","ResponseKey","Accuracy"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","24","self","immoral","match","0.7491","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","1","other","moral","nonmatch","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","2","self","immoral","nonmatch","0.8855","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","3","self","immoral","match","0.8197","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","4","other","immoral","match","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","5","other","moral","match","0.6240","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","6","self","moral","nonmatch","0.7902","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","7","self","moral","match","0.6125","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","8","other","immoral","match","0.8266","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","9","other","immoral","nonmatch","0.7527","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","10","other","moral","nonmatch","0.9350","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","11","self","immoral","nonmatch","0.6771","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","12","other","immoral","nonmatch","0.9553","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","13","self","immoral","match","0.7136","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","14","self","immoral","match","0.7437","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","15","other","moral","nonmatch","0.7099","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","16","self","immoral","nonmatch","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","17","other","moral","match","0.6423","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","18","self","moral","match","0.8643","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","19","self","moral","nonmatch","0.6304","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","20","self","moral","match","0.6449","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","21","other","immoral","nonmatch","0.8190","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","22","other","immoral","match","0.7452","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","23","self","moral","nonmatch","0.7593","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","4","24","other","moral","match","0.6695","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","5","1","self","immoral","match","0.7158","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","5","2","other","moral","match","0.7299","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","5","3","other","immoral","match","0.6561","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","5","4","self","immoral","nonmatch","0.7262","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","5","5","other","moral","match","0.6924","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","5","6","other","moral","nonmatch","0.6426","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","5","7","other","immoral","match","0.7128","N","1"
