"subject","Mixed_Forg","Mixed_Mem","SS3_Forg","SS3_Mem","SS6_Forg","SS6_Mem"
"610a15c0b3b15f2fb1613984",0.895833333333333,0.854166666666667,0.993055555555556,0.916666666666667,0.895833333333333,0.993055555555556
"610a461594c84308409d30ca",0.743055555555555,0.989583333333333,1,1,0.756944444444444,0.982638888888889
"610b680853bb3c3e3897cf54",0.75,0.954861111111111,0.909722222222222,0.916666666666667,0.725694444444444,0.9375
"61107313f8a8c5d8adc23703",0.850694444444444,0.951388888888889,0.916666666666667,1,0.902777777777778,0.861111111111111
"61109cd9ca8089124029d0e8",0.815972222222222,0.96875,0.947916666666667,0.958333333333333,0.927083333333333,0.770833333333333
"6110ad1904857a95e340579e",0.798611111111111,0.819444444444444,0.954861111111111,1,0.715277777777778,0.885416666666667
"61119010fe205e4436dce3d6",0.90625,0.944444444444445,1,1,0.868055555555555,0.916666666666667
"6112e922bc691be5b832927d",0.701388888888889,0.840277777777778,0.958333333333333,1,0.899305555555556,0.680555555555556
"61165d057c68338a2c96aa45",0.795138888888889,0.753472222222222,0.916666666666667,0.916666666666667,0.680555555555556,0.875
"6116876a64aadf8649c181a8",0.847222222222222,0.836805555555555,0.982638888888889,0.986111111111111,0.881944444444444,0.854166666666667
"611880d3d174718bfff2fd10",0.708333333333333,0.979166666666667,0.861111111111111,0.868055555555556,0.649305555555556,0.850694444444445
"611a7beda293d42edc291207",0.704861111111111,0.934027777777778,1,0.993055555555556,0.961805555555556,0.857638888888889
"611dd9cd22decde2b342b76e",0.836805555555556,1,0.986111111111111,1,0.868055555555556,0.927083333333333
"611eb4e2eb8483596b39d46b",0.788194444444444,0.895833333333333,1,1,0.829861111111111,0.930555555555556
"612719be50c35ba08003c145",0.78125,0.940972222222222,1,1,0.90625,1
"61283d412a2a16a077063e9d",0.71875,1,0.993055555555556,1,0.815972222222222,0.940972222222222
