country,subj_id,gender,age,experimenter,location,target_cat,target_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,24,universal add-on,bleed if they touch something sharp,[NONE],no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,25,universal add-on,have minds,[NONE],no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,26,universal add-on,have souls,[NONE],no,no,0,NA
US,us_adults_008_cellphones,male,42,MR,los gatos dmv,universal,cellphones,cellphones,5,1,universal,feel proud,like when you feel really good about something you did,no,no,0,NA
US,us_adults_008_cellphones,male,42,MR,los gatos dmv,universal,cellphones,cellphones,5,2,universal,feel scared,like when you feel afraid,no,no,0,NA
US,us_adults_008_cellphones,male,42,MR,los gatos dmv,universal,cellphones,cellphones,5,3,universal,hear things,like when you hear a noise,yes,yes,1,NA
US,us_adults_008_cellphones,male,42,MR,los gatos dmv,universal,cellphones,cellphones,5,4,universal,sense when things are far away,like when you see that something is far away from you,kind of,kind of,0.5,NA
US,us_adults_008_cellphones,male,42,MR,los gatos dmv,universal,cellphones,cellphones,5,5,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,yes,yes,1,NA
US,us_adults_008_cellphones,male,42,MR,los gatos dmv,universal,cellphones,cellphones,5,6,universal,feel love,like when you really like somebody and care about them a lot,no,no,0,NA
US,us_adults_008_cellphones,male,42,MR,los gatos dmv,universal,cellphones,cellphones,5,7,universal,remember things,like when you remember something that happened before,yes,yes,1,NA
US,us_adults_008_cellphones,male,42,MR,los gatos dmv,universal,cellphones,cellphones,5,8,universal,feel pain,like when something hurts you,yes,yes,1,NA
US,us_adults_008_cellphones,male,42,MR,los gatos dmv,universal,cellphones,cellphones,5,9,universal,smell things,"like when you can tell if something smells sweet, or rotten",no,no,0,NA
US,us_adults_008_cellphones,male,42,MR,los gatos dmv,universal,cellphones,cellphones,5,10,universal,choose what to do,like when you decide between different things,no,no,0,NA
