"Date","Subject","Age","Sex","Hand","Block","Bin","Trial","Task","Shape","corrResp","Resp","ACC","RT","Morality","Identity"
"02-May-2018_14:43:35",7302,22,"female","R",2,2,7,"Val","moralOther","U","u",1,0.4878,"Good","Other"
"02-May-2018_14:43:37",7302,22,"female","R",2,2,8,"Val","immoralOther","Y","y",1,0.51,"Bad","Other"
"02-May-2018_14:43:39",7302,22,"female","R",2,2,9,"Val","moralSelf","U","u",1,0.594,"Good","Self"
"02-May-2018_14:43:40",7302,22,"female","R",2,2,10,"Val","immoralSelf","Y","y",1,0.4722,"Bad","Self"
"02-May-2018_14:43:42",7302,22,"female","R",2,2,11,"Val","moralOther","U","u",1,0.4682,"Good","Other"
"02-May-2018_14:43:44",7302,22,"female","R",2,2,12,"Val","moralSelf","U","u",1,0.8362,"Good","Self"
"02-May-2018_14:43:46",7302,22,"female","R",2,2,13,"Val","moralSelf","U","u",1,0.4284,"Good","Self"
"02-May-2018_14:43:48",7302,22,"female","R",2,2,14,"Val","immoralSelf","Y","y",1,0.5245,"Bad","Self"
"02-May-2018_14:43:49",7302,22,"female","R",2,2,15,"Val","immoralOther","Y","y",1,0.5426,"Bad","Other"
"02-May-2018_14:43:51",7302,22,"female","R",2,2,16,"Val","moralSelf","U","y",0,0.4307,"Good","Self"
"02-May-2018_14:43:52",7302,22,"female","R",2,2,17,"Val","moralOther","U","u",1,0.5309,"Good","Other"
"02-May-2018_14:43:54",7302,22,"female","R",2,2,18,"Val","immoralSelf","Y","y",1,0.6728,"Bad","Self"
"02-May-2018_14:43:56",7302,22,"female","R",2,2,19,"Val","immoralOther","Y","y",1,0.519,"Bad","Other"
"02-May-2018_14:43:58",7302,22,"female","R",2,2,20,"Val","immoralSelf","Y","y",1,0.6325,"Bad","Self"
"02-May-2018_14:44:00",7302,22,"female","R",2,2,21,"Val","moralSelf","U","u",1,0.6371,"Good","Self"
"02-May-2018_14:44:01",7302,22,"female","R",2,2,22,"Val","immoralSelf","Y","y",1,0.6353,"Bad","Self"
"02-May-2018_14:44:03",7302,22,"female","R",2,2,23,"Val","moralOther","U","u",1,0.4814,"Good","Other"
"02-May-2018_14:44:05",7302,22,"female","R",2,2,24,"Val","immoralOther","Y","y",1,0.5096,"Bad","Other"
"02-May-2018_14:44:13",7302,22,"female","R",2,3,1,"Val","moralOther","U","u",1,0.492,"Good","Other"
"02-May-2018_14:44:15",7302,22,"female","R",2,3,2,"Val","immoralSelf","Y","y",1,0.4921,"Bad","Self"
"02-May-2018_14:44:16",7302,22,"female","R",2,3,3,"Val","immoralOther","Y","y",1,0.5422,"Bad","Other"
"02-May-2018_14:44:18",7302,22,"female","R",2,3,4,"Val","moralSelf","U","u",1,0.5843,"Good","Self"
"02-May-2018_14:44:20",7302,22,"female","R",2,3,5,"Val","moralOther","U","u",1,0.5464,"Good","Other"
"02-May-2018_14:44:22",7302,22,"female","R",2,3,6,"Val","moralSelf","U","u",1,0.5506,"Good","Self"
"02-May-2018_14:44:23",7302,22,"female","R",2,3,7,"Val","immoralOther","Y","y",1,0.5145,"Bad","Other"
"02-May-2018_14:44:25",7302,22,"female","R",2,3,8,"Val","immoralOther","Y","y",1,0.4586,"Bad","Other"
"02-May-2018_14:44:26",7302,22,"female","R",2,3,9,"Val","moralOther","U","u",1,0.5327,"Good","Other"
"02-May-2018_14:44:28",7302,22,"female","R",2,3,10,"Val","immoralSelf","Y","y",1,0.5028,"Bad","Self"
"02-May-2018_14:44:30",7302,22,"female","R",2,3,11,"Val","moralSelf","U","u",1,0.6988,"Good","Self"
"02-May-2018_14:44:32",7302,22,"female","R",2,3,12,"Val","moralSelf","U","u",1,0.795,"Good","Self"
"02-May-2018_14:44:34",7302,22,"female","R",2,3,13,"Val","immoralOther","Y","y",1,0.541,"Bad","Other"
"02-May-2018_14:44:36",7302,22,"female","R",2,3,14,"Val","moralOther","U","u",1,0.4872,"Good","Other"
"02-May-2018_14:44:38",7302,22,"female","R",2,3,15,"Val","moralSelf","U","u",1,0.8774,"Good","Self"
"02-May-2018_14:44:40",7302,22,"female","R",2,3,16,"Val","immoralOther","Y","y",1,0.4735,"Bad","Other"
"02-May-2018_14:44:41",7302,22,"female","R",2,3,17,"Val","immoralSelf","Y","y",1,0.2896,"Bad","Self"
"02-May-2018_14:44:43",7302,22,"female","R",2,3,18,"Val","immoralSelf","Y","y",1,0.3256,"Bad","Self"
"02-May-2018_14:44:44",7302,22,"female","R",2,3,19,"Val","moralOther","U","u",1,0.4817,"Good","Other"
"02-May-2018_14:44:46",7302,22,"female","R",2,3,20,"Val","immoralSelf","Y","y",1,0.4878,"Bad","Self"
"02-May-2018_14:44:48",7302,22,"female","R",2,3,21,"Val","moralSelf","U","u",1,0.5719,"Good","Self"
"02-May-2018_14:44:49",7302,22,"female","R",2,3,22,"Val","immoralOther","Y","y",1,0.446,"Bad","Other"
"02-May-2018_14:44:51",7302,22,"female","R",2,3,23,"Val","immoralSelf","Y","y",1,0.4301,"Bad","Self"
"02-May-2018_14:44:52",7302,22,"female","R",2,3,24,"Val","moralOther","U","u",1,0.4382,"Good","Other"
"02-May-2018_14:44:54",7302,22,"female","R",2,4,1,"Val","immoralOther","Y","y",1,0.4203,"Bad","Other"
"02-May-2018_14:44:56",7302,22,"female","R",2,4,2,"Val","immoralSelf","Y","y",1,0.4366,"Bad","Self"
"02-May-2018_14:44:58",7302,22,"female","R",2,4,3,"Val","moralSelf","U","u",1,0.7525,"Good","Self"
"02-May-2018_14:44:59",7302,22,"female","R",2,4,4,"Val","moralSelf","U","u",1,0.4706,"Good","Self"
"02-May-2018_14:45:01",7302,22,"female","R",2,4,5,"Val","moralSelf","U","u",1,0.3646,"Good","Self"
"02-May-2018_14:45:02",7302,22,"female","R",2,4,6,"Val","immoralSelf","Y","y",1,0.4867,"Bad","Self"
"02-May-2018_14:45:04",7302,22,"female","R",2,4,7,"Val","immoralOther","Y","y",1,0.5749,"Bad","Other"
"02-May-2018_14:45:06",7302,22,"female","R",2,4,8,"Val","immoralOther","Y","y",1,0.4013,"Bad","Other"
"02-May-2018_14:45:07",7302,22,"female","R",2,4,9,"Val","moralOther","U","u",1,0.4593,"Good","Other"
"02-May-2018_14:45:09",7302,22,"female","R",2,4,10,"Val","immoralSelf","Y","y",1,0.4811,"Bad","Self"
"02-May-2018_14:45:10",7302,22,"female","R",2,4,11,"Val","moralOther","U","u",1,0.5752,"Good","Other"
"02-May-2018_14:45:12",7302,22,"female","R",2,4,12,"Val","immoralOther","Y","y",1,0.4953,"Bad","Other"
"02-May-2018_14:45:14",7302,22,"female","R",2,4,13,"Val","moralOther","U","u",1,0.4814,"Good","Other"
"02-May-2018_14:45:15",7302,22,"female","R",2,4,14,"Val","immoralOther","Y","y",1,0.4636,"Bad","Other"
"02-May-2018_14:45:17",7302,22,"female","R",2,4,15,"Val","moralOther","U","u",1,0.4496,"Good","Other"
"02-May-2018_14:45:18",7302,22,"female","R",2,4,16,"Val","immoralOther","Y","y",1,0.5037,"Bad","Other"
"02-May-2018_14:45:20",7302,22,"female","R",2,4,17,"Val","immoralSelf","Y","y",1,0.4177,"Bad","Self"
"02-May-2018_14:45:22",7302,22,"female","R",2,4,18,"Val","immoralSelf","Y","y",1,0.346,"Bad","Self"
"02-May-2018_14:45:23",7302,22,"female","R",2,4,19,"Val","moralSelf","U","u",1,0.4619,"Good","Self"
