"Subj","Trial","Aes","Aes2","SelfR","Fam","Condition","Image","Question"
"s22",65,0.5,51,0.54,"0.5","SR","s22_sr03",3
"s22",60,0.38,37,0.56,"0.5","SR","s22_sr04",3
"s22",27,0.58,53,0.31,"0","SR","s22_sr05",4
"s22",28,0.49,50,0.31,"0.5","SR","s22_sr06",4
"s22",44,0.61,56,0.55,"0","SR","s22_sr07",4
"s22",41,0.77,77,0.6,"0.5","SR","s22_sr08",4
"s22",10,0.72,59,0.82,"0","SR","s22_sr09",5
"s22",14,0.25,15,0.49,"0","SR","s22_sr10",5
"s22",25,0.57,57,0.95,"0.5","SR","s22_sr11",5
"s22",61,0.54,52,0.81,"0","SR","s22_sr12",7
"s22",54,0.25,44,0.78,"0.5","SR","s22_sr13",7
"s22",76,0,0,0.14,"0","SR","s22_sr14",9
"s22",3,0.51,58,0.99,"0","SR","s22_sr15",9
"s22",13,0.27,7,0.84,"0","SR","s22_sr16",9
"s22",22,0.9,74,0.92,"0.5","SR","s22_sr17",16
"s22",36,0.15,17,0.85,"0.5","SR","s22_sr18",18
"s22",66,0.54,74,1,"0.5","SR","s22_sr19",19
"s22",18,0.88,85,0.85,"0.5","SR","s22_sr20",19
"s24",15,0.71,72,0.97,"1","SR","s24_sr01",1
"s24",22,0.54,51,0.8,"1","SR","s24_sr02",2
"s24",66,0.5,45,0.62,"0.5","SR","s24_sr03",3
"s24",34,0.32,33,0.68,"0.5","SR","s24_sr04",3
"s24",47,0.79,49,0.82,"1","SR","s24_sr05",3
"s24",30,0.66,56,0.85,"1","SR","s24_sr06",3
"s24",45,0.6,25,0.16,"0","SR","s24_sr07",4
"s24",44,0.58,51,0.28,"0","SR","s24_sr08",4
"s24",60,0.46,43,0.71,"0.5","SR","s24_sr09",5
"s24",52,0.09,33,0.11,"0","SR","s24_sr10",6
"s24",73,0.5,49,0.69,"0.5","SR","s24_sr11",7
"s24",12,0.43,40,0.8,"0","SR","s24_sr12",10
"s24",23,0.68,48,0.9,"1","SR","s24_sr13",11
"s24",8,0.2,17,0.7,"0","SR","s24_sr14",11
"s24",61,0.48,45,0.18,"0","SR","s24_sr15",12
"s24",13,0.47,41,0.79,"0.5","SR","s24_sr16",16
"s24",18,0.13,50,0.51,"0","SR","s24_sr17",18
"s24",28,0.12,10,0.53,"0","SR","s24_sr18",18
"s24",42,0.19,15,0.78,"0","SR","s24_sr19",19
"s24",51,0.38,28,0.72,"0","SR","s24_sr20",19
"s25",26,0.7,51,0.91,"0","SR","s25_sr01",1
"s25",25,0.65,64,0.92,"0","SR","s25_sr02",2
"s25",30,0.68,76,0.9,"0","SR","s25_sr03",3
"s25",20,0.4,76,0.54,"0","SR","s25_sr04",3
"s25",59,0.66,73,0.84,"0.5","SR","s25_sr05",3
"s25",72,0.53,48,0.6,"0","SR","s25_sr06",3
"s25",4,0.65,77,0.57,"0.5","SR","s25_sr07",4
"s25",35,0.4,34,0.73,"0","SR","s25_sr08",4
"s25",19,0.45,77,0.38,"0","SR","s25_sr09",6
"s25",58,0.61,63,0.3,"0","SR","s25_sr10",7
"s25",77,0.7,91,0.83,"0.5","SR","s25_sr11",7
"s25",6,0.76,90,0.8,"0.5","SR","s25_sr12",9
"s25",70,0.2,50,0.3,"0","SR","s25_sr13",11
"s25",1,0.54,35,0.24,"0","SR","s25_sr14",11
"s25",44,0.62,65,0.78,"0.5","SR","s25_sr15",12
"s25",50,0.46,77,0.96,"0.5","SR","s25_sr16",16
"s25",31,0.42,41,0.74,"0","SR","s25_sr17",19
"s25",67,0.96,56,0.21,"0","SR","s25_sr18",18
"s25",69,0.3,45,0.35,"0","SR","s25_sr19",18
