Participant,Months,Gender,Order,Task,Outcome,Looking,TaskOrder,Habituated
P01,11.23013446,f,2,Inefficient,Expected,21.44848551,1,0
P01,11.26301082,f,1,Multiagent,Unexpected,16.78953422,2,1
P01,11.26301082,f,2,Multiagent,Expected,17.89038657,2,1
P01,11.36163987,f,1,Instrumental,Unexpected,11.68207078,4,1
P01,11.36163987,f,2,Instrumental,Expected,3.563410508,4,1
P01,11.46026893,f,1,GoalDirected,Unexpected,16.73036348,5,0
P01,11.46026893,f,2,GoalDirected,Expected,12.21585245,5,0
P01,11.49314528,f,1,Efficient,Unexpected,9.086885091,6,0
P01,11.49314528,f,2,Efficient,Expected,12.64622677,6,0
P02,11.42739258,m,1,Inaccessible,Unexpected,10.61236895,4,1
P02,11.42739258,m,2,Inaccessible,Expected,15.57522574,4,1
P02,11.49314528,m,1,GoalDirected,Unexpected,17.9047791,6,1
P02,11.49314528,m,2,GoalDirected,Expected,5.411385144,6,1
P03,10.7561561,m,1,Inaccessible,Unexpected,24.81562328,2,1
P03,10.7561561,m,2,Inaccessible,Expected,12.83537572,2,1
P04,10.72327974,f,1,Inefficient,Unexpected,23.28766173,1,0
P04,10.72327974,f,2,Inefficient,Expected,13.01145448,1,0
P04,10.8219088,f,1,Multiagent,Unexpected,13.49072894,3,0
P04,10.8219088,f,2,Multiagent,Expected,8.336593595,3,0
P04,11.09862906,f,1,Efficient,Unexpected,18.85464266,5,1
P04,11.09862906,f,2,Efficient,Expected,7.551044712,5,1
P04,11.13150541,f,1,Instrumental,Unexpected,6.143024494,6,0
P04,11.13150541,f,2,Instrumental,Expected,2.231978462,6,0
P05,10.49314528,f,1,Instrumental,Unexpected,4.667532737,1,0
P05,10.49314528,f,2,Instrumental,Expected,4.42287655,1,0
P05,10.7561561,f,1,Efficient,Unexpected,3.978141438,2,1
P05,10.7561561,f,2,Efficient,Expected,7.027462145,2,1
P05,11.16438176,f,1,GoalDirected,Unexpected,4.677068187,5,0
P05,11.16438176,f,2,GoalDirected,Expected,7.030577123,5,0
P05,11.23013446,f,1,Inefficient,Unexpected,12.55545708,6,0
P05,11.23013446,f,2,Inefficient,Expected,25.1630324,6,0
P06,11.23013446,f,1,Inaccessible,Unexpected,6.428963519,2,1
P06,11.23013446,f,2,Inaccessible,Expected,9.849905012,2,1
P06,11.46026893,f,1,Multiagent,Unexpected,16.19106413,5,1
P06,11.46026893,f,2,Multiagent,Expected,8.528229214,5,1
P08,11.0657527,f,1,GoalDirected,Unexpected,16.10648799,1,0
P08,11.0657527,f,2,GoalDirected,Expected,6.13222754,1,0
P08,11.13150541,f,1,Multiagent,Unexpected,3.130182195,2,0
P08,11.13150541,f,2,Multiagent,Expected,3.498758153,2,0
P08,11.16438176,f,1,Efficient,Unexpected,11.80711177,3,0
P08,11.16438176,f,2,Efficient,Expected,6.099912602,3,0
P08,11.23013446,f,1,Inefficient,Unexpected,6.013463255,5,0
P08,11.23013446,f,2,Inefficient,Expected,4.431426848,5,0
P09,10.85478515,m,1,Inefficient,Unexpected,20.31633999,1,0
P09,10.85478515,m,2,Inefficient,Expected,14.2444775,1,0
P09,10.88766151,m,1,Efficient,Unexpected,5.397491118,2,0
P09,10.88766151,m,2,Efficient,Expected,4.219382635,2,0
P09,11.13150541,m,1,Multiagent,Unexpected,7.751334633,5,0
P09,11.13150541,m,2,Multiagent,Expected,16.50311529,5,0
P10,10.88766151,m,1,Inaccessible,Unexpected,4.685433016,1,1
P10,10.88766151,m,2,Inaccessible,Expected,1.677722821,1,1
P12,11.23013446,f,1,Instrumental,Unexpected,9.264080111,1,1
P12,11.23013446,f,2,Instrumental,Expected,11.96584023,1,1
P12,11.26301082,f,1,Multiagent,Unexpected,17.06114813,2,0
P12,11.26301082,f,2,Multiagent,Expected,13.41571497,2,0
P12,11.36163987,f,1,Inefficient,Unexpected,2.63238241,5,0
P12,11.36163987,f,2,Inefficient,Expected,13.91688602,5,0
P12,11.39451622,f,1,Efficient,Unexpected,15.15926506,6,1
P12,11.39451622,f,2,Efficient,Expected,17.10262296,6,1
P13,10.59177434,f,1,Efficient,Unexpected,8.409660239,1,0
P13,10.59177434,f,2,Efficient,Expected,5.759424713,1,0
P13,10.8219088,f,1,Instrumental,Unexpected,4.964581082,3,1
P13,10.8219088,f,2,Instrumental,Expected,2.11316533,3,1
P14,10.8219088,m,1,Inaccessible,Unexpected,19.16588996,1,0
P14,10.8219088,m,2,Inaccessible,Expected,6.741900799,1,0
P14,11.13150541,m,1,Multiagent,Unexpected,1.883070652,5,1
P14,11.13150541,m,2,Multiagent,Expected,17.94631522,5,1
P15,10.55889798,f,1,Inaccessible,Unexpected,3.027951255,2,0
P15,10.55889798,f,2,Inaccessible,Expected,7.197426687,2,0
P15,10.62465069,f,1,GoalDirected,Unexpected,11.8631934,3,0
P15,10.62465069,f,2,GoalDirected,Expected,4.7497847,3,0
P15,11.19725811,f,1,Multiagent,Unexpected,4.218865689,6,0
P15,11.19725811,f,2,Multiagent,Expected,2.335090149,6,0
P16,10.65752704,m,1,GoalDirected,Unexpected,10.62716821,1,0
P16,10.65752704,m,2,GoalDirected,Expected,9.902449838,1,0
P16,11.0657527,m,1,Efficient,Unexpected,7.318647085,2,0
P16,11.0657527,m,2,Efficient,Expected,3.503195981,2,0
P16,11.39451622,m,1,Inefficient,Unexpected,2.410284234,6,0
P16,11.39451622,m,2,Inefficient,Expected,11.86672021,6,0
P17,10.95341421,f,1,Inefficient,Unexpected,20.51623724,2,0
P17,10.95341421,f,2,Inefficient,Expected,6.465847162,2,0
P17,11.03287635,f,1,Instrumental,Unexpected,10.00804581,4,1
P17,11.03287635,f,2,Instrumental,Expected,3.26530908,4,1
P17,11.16438176,f,1,Multiagent,Unexpected,7.501155343,6,0
P17,11.16438176,f,2,Multiagent,Expected,12.73163943,6,0
P18,10.92053786,f,1,GoalDirected,Unexpected,11.18109168,2,1
P18,10.92053786,f,2,GoalDirected,Expected,2.765060731,2,1
P18,11.26301082,f,1,Inaccessible,Unexpected,3.715729672,6,0
P18,11.26301082,f,2,Inaccessible,Expected,2.71343637,6,0
P19,11.39451622,f,1,Inaccessible,Unexpected,15.80197673,6,0
P19,11.39451622,f,2,Inaccessible,Expected,25.54381342,6,0
P20,11.26301082,f,1,Multiagent,Unexpected,6.893139488,1,1
P20,11.26301082,f,2,Multiagent,Expected,4.820448581,1,1
P20,11.29588717,f,1,Instrumental,Unexpected,5.649757912,2,1
P20,11.29588717,f,2,Instrumental,Expected,2.185593931,2,1
P21,11.03287635,f,1,Inefficient,Unexpected,9.83725182,1,0
P21,11.03287635,f,2,Inefficient,Expected,5.435635245,1,0
P21,11.13150541,f,1,GoalDirected,Unexpected,10.09143949,2,1
P21,11.13150541,f,2,GoalDirected,Expected,1.73206773,2,1
P21,11.26301082,f,1,Instrumental,Unexpected,7.336591269,5,1
P21,11.26301082,f,2,Instrumental,Expected,7.84426058,5,1
P22,11.09862906,f,1,Multiagent,Unexpected,15.57568199,4,0
P22,11.09862906,f,2,Multiagent,Expected,11.63628322,4,0
P23,10.88766151,f,1,Multiagent,Unexpected,13.9848006,2,0
P23,10.88766151,f,2,Multiagent,Expected,29.54523757,2,0
P23,11.09862906,f,1,GoalDirected,Unexpected,5.157793738,3,1
P23,11.09862906,f,2,GoalDirected,Expected,5.393772708,3,1
P23,11.32876352,f,1,Inaccessible,Unexpected,5.168177253,5,1
P23,11.32876352,f,2,Inaccessible,Expected,4.344909849,5,1
P24,11.09862906,f,1,Efficient,Unexpected,10.92256995,1,1
P24,11.09862906,f,2,Efficient,Expected,21.60223392,1,1
P24,11.16438176,f,1,Instrumental,Unexpected,1.509382094,2,1
P24,11.16438176,f,2,Instrumental,Expected,3.266110262,2,1
P24,11.39451622,f,1,GoalDirected,Unexpected,4.765686978,5,1
P24,11.39451622,f,2,GoalDirected,Expected,13.10010474,5,1
P24,11.42739258,f,1,Inefficient,Unexpected,7.204908244,6,0
P24,11.42739258,f,2,Inefficient,Expected,2.461789231,6,0
P25,10.7561561,f,1,Multiagent,Unexpected,16.76351002,1,0
P25,10.7561561,f,2,Multiagent,Expected,15.48081825,1,0
P25,10.8219088,f,1,Efficient,Unexpected,17.32023849,2,0
P25,10.8219088,f,2,Efficient,Expected,8.022199631,2,0
P25,10.95341421,f,1,Inefficient,Unexpected,10.72755789,4,0
P25,10.95341421,f,2,Inefficient,Expected,9.114794625,4,0
